Full,Abbreviation,
à,ah,
anh,a,
bao giờ,bh,
bây giờ,bh,
bình thường,bt,
điều kiện,đk,
được,đc,
em,e,
gì,j,
mọi người,mn,
Nguyễn,ng,
nhiều,nh,
nhưng,nhg,
những,nh,
những,nhg,
phát triển,pt,
Hà Nội,hn,
không,ko,
không biết,kb,
Việt Nam,vn,
thế nào,tn,
như thế nào,ntn,
kỹ sư,ks,
tiến sĩ,ts,
giáo sư,gs,
phó giáo sư,pgs,
kiến trúc sư,kts,
kỹ thuật,kt,
kiểm tra,kt,
nghệ sĩ,ns,
nhân dân,nd,
nghệ sĩ nhân dân,nsnd,
trung ương,tw,
nghệ sĩ ưu tú,nsut,
thành phố,tp,
tỉnh ủy,tu,
thành ủy,tu,
văn phòng,vp,
ủy ban,ub,
ủy ban nhân dân,ubnd,
xã hội,xh,
yêu,y,
yêu,iu,
người yêu,ny,
hạnh phúc,hf,
thông tin,tt,
tuyên truyền,tt,
truyền thông,tt,
